epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,313.801,0.53141,0.41265,0.19342,0.46591,1.24567,0.99805,1,0.995,0.91201,0.99805,1,0.995,0.9274,0.40109,0.41152,0.12721,0.43534,0.8201,0.003532,0.003532,0.003532
100,316.9,0.55917,0.33598,0.1856,0.44652,1.24109,0.99712,1,0.995,0.90842,0.99712,1,0.995,0.90819,0.44764,0.40677,0.15025,0.48951,0.876,0.003466,0.003466,0.003466
101,319.973,0.5518,0.43773,0.19839,0.48538,1.26711,0.99259,1,0.995,0.91083,0.99259,1,0.995,0.91295,0.46598,0.37776,0.14497,0.4793,0.89909,0.0034,0.0034,0.0034
102,323.054,0.53728,0.38038,0.20983,0.48246,1.25592,0.98899,1,0.995,0.90304,0.98899,1,0.995,0.92606,0.46601,0.35553,0.09348,0.42134,0.89393,0.003334,0.003334,0.003334
103,326.102,0.55886,0.38993,0.19323,0.47848,1.25512,0.99782,1,0.995,0.90389,0.99782,1,0.995,0.83202,0.43126,0.51052,0.0685,0.38683,0.82638,0.003268,0.003268,0.003268
104,329.176,0.56394,0.46859,0.18947,0.48842,1.2721,0.99772,1,0.995,0.90642,0.99772,1,0.995,0.86305,0.43351,0.42818,0.06941,0.39824,0.82155,0.003202,0.003202,0.003202
105,332.378,0.53265,0.38191,0.19741,0.48114,1.22378,0.99735,1,0.995,0.90283,0.99735,1,0.995,0.89463,0.44646,0.35458,0.06975,0.4142,0.84365,0.003136,0.003136,0.003136
106,335.501,0.56949,0.34592,0.20119,0.46124,1.25541,0.96518,1,0.995,0.91371,0.96518,1,0.995,0.92406,0.46629,0.35137,0.08443,0.45886,0.87219,0.00307,0.00307,0.00307
107,338.613,0.53701,0.3322,0.18891,0.46891,1.22189,0.9968,1,0.995,0.92117,0.9968,1,0.995,0.92497,0.45564,0.38874,0.07126,0.40312,0.8512,0.003004,0.003004,0.003004
108,341.643,0.50973,0.49912,0.20763,0.45231,1.2208,0.99485,1,0.995,0.92675,0.99485,1,0.995,0.9003,0.4475,0.44698,0.07038,0.4914,0.84264,0.002938,0.002938,0.002938
109,344.7,0.53326,0.44911,0.20414,0.44865,1.24323,0.99481,1,0.995,0.931,0.99481,1,0.995,0.89828,0.44481,0.40282,0.0709,0.45674,0.83939,0.002872,0.002872,0.002872
110,347.847,0.52576,0.34283,0.17554,0.45769,1.22609,0.99609,1,0.995,0.94506,0.99609,1,0.995,0.89818,0.42326,0.33535,0.07045,0.40276,0.81988,0.002806,0.002806,0.002806
111,350.996,0.48956,0.41893,0.19306,0.42426,1.18298,0.9973,1,0.995,0.94944,0.9973,1,0.995,0.9102,0.40359,0.28353,0.05301,0.36582,0.79896,0.00274,0.00274,0.00274
112,354.089,0.49113,0.36694,0.18662,0.43275,1.18401,0.99803,1,0.995,0.96292,0.99803,1,0.995,0.9148,0.38418,0.2728,0.05336,0.3275,0.7826,0.002674,0.002674,0.002674
113,357.158,0.4608,0.345,0.21147,0.41062,1.14755,0.99809,1,0.995,0.97731,0.99809,1,0.995,0.92611,0.35794,0.27425,0.05513,0.31334,0.75692,0.002608,0.002608,0.002608
114,360.317,0.50814,0.31439,0.19509,0.42652,1.24661,0.99698,1,0.995,0.97225,0.99698,1,0.995,0.92195,0.34777,0.27725,0.05549,0.35719,0.75027,0.002542,0.002542,0.002542
115,363.443,0.50157,0.37986,0.17998,0.43284,1.21098,0.99747,1,0.995,0.98598,0.99747,1,0.995,0.92736,0.36888,0.28016,0.07507,0.39681,0.77311,0.002476,0.002476,0.002476
116,366.612,0.5351,0.41901,0.20659,0.45894,1.21262,0.99815,1,0.995,0.98318,0.99815,1,0.995,0.93107,0.36229,0.2745,0.13127,0.39839,0.76765,0.00241,0.00241,0.00241
117,369.722,0.49146,0.30787,0.16787,0.41043,1.17615,0.99814,1,0.995,0.95904,0.99814,1,0.995,0.9204,0.40939,0.28068,0.17316,0.45194,0.81866,0.002344,0.002344,0.002344
118,372.818,0.52727,0.36816,0.18565,0.45326,1.21539,0.99434,1,0.995,0.8899,0.99434,1,0.995,0.91387,0.49242,0.3444,0.26809,0.55209,0.94584,0.002278,0.002278,0.002278
119,375.966,0.52541,0.3816,0.18918,0.4573,1.25411,0.98399,1,0.995,0.93705,0.98399,1,0.995,0.93107,0.40399,0.2767,0.13506,0.42679,0.81853,0.002212,0.002212,0.002212
